MovieID,Title,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,dialogue_coverage_proxy,language_feature_version,num_lines,avg_line_length,median_line_length,num_tokens,num_unique_tokens,type_token_ratio,hapax_ratio,top_word_frequency_ratio,bigram_repetition_ratio,trigram_repetition_ratio,repeated_line_ratio,duplicate_line_count,most_common_line_frequency,repeated_short_phrase_ratio,question_line_ratio,exclamation_line_ratio,first_person_pronoun_ratio,second_person_pronoun_ratio,contraction_ratio,average_sentiment,sentiment_variance,positive_word_ratio,negative_word_ratio,anger_word_ratio,fear_word_ratio,joy_word_ratio,sadness_word_ratio,average_word_length,long_word_ratio,common_word_ratio,rare_word_ratio,simple_word_ratio,complex_word_ratio,flesch_reading_ease,average_sentence_length,subtitle_words_per_minute,num_lines_per_minute,unique_subtitle_words_per_minute,Genre9,Genre10,MovieLens32MAvailable,FranchiseID,FranchiseName,FranchiseInstallment,FranchiseLength,imdb_tconst,imdb_Title,imdb_averageRating,imdb_numVotes,imdb_originalTitle,imdb_isAdult,imdb_runtimeMinutes,imdb_low_votes
1,Toy Story,1995.0,Adventure,Animation,Children,Comedy,Fantasy,,,,22.54320987654321,2,1826,4.196056955093099,4.0,7662,1443,0.1883320281910728,0.5356895356895357,0.0347167841294701,0.4124787886698864,0.1353785900783289,0.1423877327491785,174,11,0.2739377325239867,0.1325301204819277,0.2929901423877327,0.0507700339336987,0.0408509527538501,0.0746541373009658,-0.0080918820151396,0.0474416997278858,0.0197076481336465,0.0277995301487862,0.0009135995823544,0.0015661707126076,0.004698512137823,0.0020882276168102,3.883450796136779,0.0910989297833463,0.4271730618637431,0.5728269381362568,0.8024014617593318,0.0425476376925084,96.65508991553205,4.326369282891022,94.5925925925926,22.54320987654321,17.814814814814813,,,True,830.0,Toy Story,1.0,4.0,tt0114709,Toy Story,8.3,1170869.0,Toy Story,False,81.0,False
2,Jumanji,1995.0,Adventure,Children,Fantasy,,,,,,16.778846153846153,2,1745,3.3879656160458453,3.0,5912,1169,0.1977334235453315,0.5346449957228401,0.0404262516914749,0.3647436981898156,0.1003384094754653,0.1742120343839541,210,14,0.232552237543355,0.1186246418338108,0.1163323782234957,0.0551420838971583,0.0504059539918809,0.0723951285520974,-0.0079499323410013,0.0420545252334189,0.017083897158322,0.0250338294993234,0.0006765899864682,0.0049052774018944,0.0030446549391069,0.0050744248985115,3.8721244925575102,0.0810216508795669,0.4468876860622462,0.5531123139377537,0.7909336941813261,0.0404262516914749,95.78943493755924,4.568778979907265,56.84615384615385,16.778846153846153,11.240384615384615,,,True,367.0,Jumanji,1.0,3.0,tt0113497,Jumanji,7.1,412058.0,Jumanji,False,104.0,False
3,Grumpier Old Men,1995.0,Comedy,Romance,,,,,,,16.316831683168317,2,1648,4.368325242718447,4.0,7199,1416,0.1966939852757327,0.530367231638418,0.0484789554104736,0.3663517643789941,0.090454355981659,0.0946601941747572,94,11,0.2284126432789162,0.1692961165048543,0.1256067961165048,0.0615363244895124,0.0547298235866092,0.0701486317544103,0.0088901236282817,0.046316298386969,0.0276427281566884,0.0187526045284067,0.0029170718155299,0.0020836227253785,0.0073621336296707,0.0030559799972218,3.8848451173774134,0.0965411862758716,0.4828448395610501,0.5171551604389498,0.803722739269343,0.0495902208640088,96.08355875020212,4.507827175954915,71.27722772277228,16.316831683168317,14.01980198019802,,,True,,,,,tt0113228,Grumpier Old Men,6.7,31646.0,Grumpier Old Men,False,101.0,False
4,Waiting to Exhale,1995.0,Comedy,Drama,Romance,,,,,,19.016129032258064,2,2358,4.481764206955047,5.0,10568,1649,0.1560370931112793,0.5348696179502729,0.0505299015897047,0.432289202233368,0.1033503691084611,0.104325699745547,168,15,0.2678275682581744,0.1395250212044105,0.0470737913486005,0.0697388342165026,0.0587623012869038,0.0661430734292202,0.0035957607872823,0.0482459652810449,0.0259273277819833,0.0223315669947009,0.0035957607872823,0.0008516275548826,0.0061506434519303,0.0052990158970476,3.823996971990916,0.0903671461014383,0.4989591218773656,0.5010408781226343,0.8085730507191522,0.0423921271763815,96.78447301102696,4.852157943067034,85.2258064516129,19.016129032258064,13.298387096774194,,,True,,,,,tt0114885,Waiting to Exhale,6.0,13793.0,Waiting to Exhale,False,124.0,False
5,Father of the Bride Part II,1995.0,Comedy,,,,,,,,28.78301886792453,2,3051,4.288102261553589,4.0,13083,1839,0.1405640908048612,0.5089722675367048,0.0382939692731024,0.4581868215869133,0.1181866829753077,0.1455260570304818,330,31,0.2881932500095555,0.1389708292363159,0.0688298918387414,0.0681036459527631,0.0391347550256057,0.0682565160895819,0.0052740197202476,0.0428522580936561,0.0240770465489566,0.018803026828709,0.0003057402736375,0.0006879156156844,0.0058855002675227,0.0029045325995566,3.8152564396545134,0.0836963999082779,0.4631965145608805,0.5368034854391195,0.8084537185660781,0.0407398914622028,96.74907961343068,4.951930355791068,123.4245283018868,28.78301886792453,17.349056603773583,,,True,,,,,tt0113041,Father of the Bride Part II,6.1,45062.0,Father of the Bride Part II,False,106.0,False
6,Heat,1995.0,Action,Crime,Thriller,,,,,,11.41764705882353,2,1941,4.563111798042247,4.0,8857,1702,0.1921643897482217,0.5587544065804936,0.0447103985548154,0.3877597109304426,0.0929418407679277,0.0911901081916537,110,7,0.2403590988651121,0.1865018031942297,0.041215868109222,0.0582590041774867,0.051484701366151,0.0654849271762447,-0.0039516766399458,0.0271945005439315,0.0116292198261262,0.015580896466072,0.0011290504685559,0.0018064807496895,0.0019193857965451,0.0023710059839674,3.914192164389749,0.1022919724511685,0.4928305295246697,0.5071694704753302,0.8080614203454894,0.0523879417409958,95.74617944649808,4.678816693079767,52.1,11.41764705882353,10.011764705882353,,,True,,,,,tt0113277,Heat,8.3,800903.0,Heat,False,170.0,False
7,Sabrina,1995.0,Comedy,Romance,,,,,,,8.51968503937008,2,1082,4.0,4.0,4328,1075,0.2483826247689464,0.5497674418604651,0.0408964879852125,0.2828749711116247,0.0471567267683772,0.0471349353049907,31,5,0.1650294695481336,0.1164510166358595,0.0138632162661737,0.0646950092421441,0.0478280961182994,0.0646950092421441,0.0062384473197781,0.0380849265070161,0.022181146025878,0.0159426987060998,0.0009242144177449,0.0,0.0083179297597042,0.0023105360443622,4.011783733826248,0.1268484288354898,0.4852125693160813,0.5147874306839186,0.7696395563770795,0.0688539741219963,90.52824259501377,5.278048780487805,34.07874015748032,8.51968503937008,8.464566929133857,,,True,,,,,tt0114319,Sabrina,6.3,47292.0,Sabrina,False,127.0,False
8,Tom and Huck,1995.0,Adventure,Children,,,,,,,14.90721649484536,2,1446,4.112724757952973,4.0,5947,1157,0.194551874894905,0.4987035436473638,0.040692786278796,0.3752102253615876,0.0881412952060555,0.1099585062240663,103,10,0.2316878311327895,0.1376210235131397,0.1293222683264177,0.0608710274087775,0.048259626702539,0.0943332772826635,-0.007566840423743,0.0384495530823829,0.0154699848663191,0.0230368252900622,0.0028585841600807,0.0065579283672439,0.0033630401883302,0.0065579283672439,3.7983857407096018,0.0714646040020178,0.4620817218765764,0.5379182781234235,0.8294938624516563,0.0353119219774676,99.3240383424798,4.660658307210031,61.30927835051546,14.907216494845361,11.927835051546392,,,True,,,,,tt0112302,Tom and Huck,5.5,12461.0,Tom and Huck,False,97.0,False
9,Sudden Death,1995.0,Action,,,,,,,,15.324324324324325,2,1701,4.62962962962963,5.0,7875,1571,0.1994920634920635,0.5429662635264163,0.0521904761904761,0.3750317500635001,0.1013590753207163,0.0811287477954144,91,9,0.2382041023687051,0.1069958847736625,0.0958259847148736,0.0433015873015873,0.0354285714285714,0.0488888888888888,-0.0077460317460317,0.0313050783572688,0.0118095238095238,0.0195555555555555,0.003047619047619,0.0034285714285714,0.0025396825396825,0.004063492063492,4.021079365079365,0.1264761904761904,0.4445714285714285,0.5554285714285714,0.7702857142857142,0.0647619047619047,90.46752878556136,5.620985010706638,70.94594594594595,15.324324324324325,14.153153153153154,,,True,,,,,tt0114576,Sudden Death,5.9,39511.0,Sudden Death,False,111.0,False
10,GoldenEye,1995.0,Action,Adventure,Thriller,,,,,,10.761538461538462,2,1399,4.288062902072909,4.0,5999,1496,0.2493748958159693,0.5748663101604278,0.0470078346391065,0.3266088696232077,0.0720360180090045,0.0879199428162973,75,11,0.1993330554397665,0.1315225160829163,0.0857755539671193,0.051841973662277,0.0500083347224537,0.0,-0.0066677779629938,0.0449630419872445,0.0191698616436072,0.0258376396066011,0.0041673612268711,0.0025004167361226,0.0008334722453742,0.0038339723287214,4.091348558093015,0.1516919486581097,0.4619103183863977,0.5380896816136023,0.7434572428738123,0.0953492248708118,84.61731749018014,5.20294882914137,46.146153846153844,10.761538461538462,11.507692307692308,,,True,,,,,tt0113189,GoldenEye,7.2,285881.0,GoldenEye,False,130.0,False
11,The American President,1995.0,Comedy,Drama,Romance,,,,,,27.228070175438596,2,3104,5.093105670103093,5.0,15809,2294,0.1451072174078057,0.519180470793374,0.0421279018280726,0.5067054655870445,0.1736572404630859,0.0702319587628866,145,18,0.3401866202751858,0.1291881443298969,0.0151417525773195,0.064520210006958,0.0391549117591245,0.0,-0.0005692959706496,0.0313109542878274,0.01537099120754,0.0159402871781896,0.0015813776962489,0.0011385919412992,0.0028464798532481,0.0015813776962489,3.904295021823012,0.1313808590043646,0.4663166550698969,0.533683344930103,0.7748118160541464,0.0730596495667025,89.15271739675813,6.310978043912176,138.67543859649123,27.228070175438596,20.12280701754386,,,True,,,,,tt0112346,The American President,6.9,65278.0,The American President,False,114.0,False
