franchise,part,title,year,franchise_length,rating,rating_avg,rating_diff_avg,rating_rel_avg,quality_avg
... Cameras,1,13 Cameras,2015,3,2.3,2.49,-0.19,-8.0,worse
... Cameras,2,14 Cameras,2018,3,2.12,2.49,-0.37,-15.0,worse
... Cameras,3,15 Cameras,2023,3,3.04,2.49,0.55,22.0,better
12 Rounds,1,12 Rounds,2009,3,2.44,2.42,0.02,1.0,better
12 Rounds,2,12 Rounds 2: Reloaded,2013,3,2.3,2.42,-0.12,-5.0,worse
12 Rounds,3,12 Rounds 3: Lockdown,2015,3,2.51,2.42,0.09,4.0,better
1920,1,1920,2008,3,3.04,2.84,0.2,7.0,better
1920,2,1920: Evil Returns,2012,3,2.83,2.84,-0.01,-0.0,worse
1920,3,1920 London,2016,3,2.64,2.84,-0.2,-7.0,worse
1981,1,1981,2009,3,3.53,3.49,0.04,1.0,better
1981,2,1987,2014,3,3.55,3.49,0.06,2.0,better
1981,3,1991,2018,3,3.4,3.49,-0.09,-3.0,worse
2-Headed Shark Attack,1,2-Headed Shark Attack,2012,4,1.66,1.77,-0.11,-6.0,worse
2-Headed Shark Attack,2,3-Headed Shark Attack,2015,4,1.71,1.77,-0.06,-3.0,worse
2-Headed Shark Attack,3,5 Headed Shark Attack,2017,4,1.75,1.77,-0.02,-1.0,worse
2-Headed Shark Attack,4,6-Headed Shark Attack,2018,4,1.95,1.77,0.18,10.0,better
20th Century Boys,1,20th Century Boys 1: Beginning of the End,2008,3,3.27,3.29,-0.02,-1.0,worse
20th Century Boys,2,20th Century Boys 2: The Last Hope,2009,3,3.28,3.29,-0.01,-0.0,worse
20th Century Boys,3,20th Century Boys 3: Redemption,2009,3,3.31,3.29,0.02,1.0,better
3 Ninja Kids,1,3 Ninjas,1992,4,2.72,2.38,0.35,15.0,better
3 Ninja Kids,2,3 Ninjas Kick Back,1994,4,2.51,2.38,0.13,5.0,better
3 Ninja Kids,3,3 Ninjas Knuckle Up,1995,4,2.35,2.38,-0.02,-1.0,worse
3 Ninja Kids,4,3 Ninjas: High Noon at Mega Mountain,1998,4,1.92,2.38,-0.46,-19.0,worse
365 Days,1,365 Days,2020,3,1.02,1.09,-0.07,-6.0,worse
365 Days,2,365 Days: This Day,2022,3,1.07,1.09,-0.02,-2.0,worse
365 Days,3,The Next 365 Days,2022,3,1.19,1.09,0.1,9.0,better
A Better Tomorrow,1,A Better Tomorrow,1986,3,3.85,3.6,0.25,7.0,better
A Better Tomorrow,2,A Better Tomorrow II,1987,3,3.58,3.6,-0.02,-1.0,worse
A Better Tomorrow,3,A Better Tomorrow III: Love and Death in Saigon,1989,3,3.38,3.6,-0.22,-6.0,worse
A Chinese Ghost Story,1,A Chinese Ghost Story,1987,3,3.71,3.52,0.19,5.0,better
A Chinese Ghost Story,2,A Chinese Ghost Story II,1990,3,3.49,3.52,-0.03,-1.0,worse
A Chinese Ghost Story,3,A Chinese Ghost Story III,1991,3,3.35,3.52,-0.17,-5.0,worse
A Christmas Prince,1,A Christmas Prince,2017,3,2.28,2.17,0.11,5.0,better
A Christmas Prince,2,A Christmas Prince: The Royal Wedding,2018,3,2.12,2.17,-0.05,-2.0,worse
A Christmas Prince,3,A Christmas Prince: The Royal Baby,2019,3,2.11,2.17,-0.06,-3.0,worse
A Christmas Story,1,A Christmas Story,1983,3,3.58,2.73,0.85,31.0,better
A Christmas Story,2,A Christmas Story 2,2012,3,1.68,2.73,-1.05,-38.0,worse
A Christmas Story,3,A Christmas Story Christmas,2022,3,2.93,2.73,0.2,7.0,better
A Fairly Odd,1,"A Fairly Odd Movie: Grow Up, Timmy Turner!",2011,3,1.52,1.62,-0.1,-6.0,worse
