Dataset	MovieID	Title	Year	Reason
movies-32M	108	Catwalk	1996	no_subtitles_found
movies-32M	131	Frankie Starlight	1995	no_subtitles_found
movies-32M	133	Nueba Yol	1995	no_subtitles_found
movies-32M	143	Gospa	1995	no_subtitles_found
movies-32M	183	Mute Witness	1994	no_subtitles_found
movies-32M	189	Reckless	1995	no_subtitles_found
movies-32M	248	Houseguest	1994	no_subtitles_found
movies-32M	346	Backbeat	1993	no_subtitles_found
movies-32M	401	Mirage	1995	no_subtitles_found
movies-32M	576	Fausto	1993	no_subtitles_found
movies-32M	582	Metisse (Cafe au Lait)	1993	no_subtitles_found
movies-32M	604	Criminals	1996	no_subtitles_found
movies-32M	607	Century	1993	no_subtitles_found
movies-32M	614	Loaded	1994	no_subtitles_found
movies-32M	642	Roula	1995	no_subtitles_found
movies-32M	657	Yankee Zulu	1994	no_subtitles_found
movies-32M	660	August	1996	no_subtitles_found
movies-32M	672	Tarantella	1995	no_subtitles_found
movies-32M	768	Someone Else's America	1995	no_subtitles_found
movies-32M	770	Costa Brava	1946	no_subtitles_found
movies-32M	774	Wend Kuuni (a.k.a. God's Gift)	1982	no_subtitles_found
movies-32M	819	Stefano Quantestorie	1993	no_subtitles_found
movies-32M	889	1-900 (06)	1994	no_subtitles_found
movies-32M	1039	Synthetic Pleasures	1995	no_subtitles_found
movies-32M	1107	Loser	1991	no_subtitles_found
movies-32M	1112	Palookaville	1996	no_subtitles_found
movies-32M	1115	Sleepover	1995	no_subtitles_found
movies-32M	1122	Plutonium Circus	1995	no_subtitles_found
movies-32M	1138	Dadetown	1995	no_subtitles_found
movies-32M	1145	Snowriders	1996	no_subtitles_found
movies-32M	1146	Curtis's Charm	1995	no_subtitles_found
movies-32M	1177	Enchanted April	1992	no_subtitles_found
movies-32M	1285	Heathers	1989	no_subtitles_found
movies-32M	1289	Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance)	1983	no_subtitles_found
movies-32M	1430	Underworld	1996	no_subtitles_found
movies-32M	1444	Guantanamera	1994	no_subtitles_found
movies-32M	1454	SubUrbia	1997	download_failed: HTTPSConnectionPool(host='api.opensubtitles.com', port=443): Read timed out. (read timeout=30)
movies-32M	1474	Jungle2Jungle (a.k.a. Jungle 2 Jungle)	1997	no_subtitles_found
movies-32M	1522	Ripe	1996	no_subtitles_found
movies-32M	1547	Shiloh	1997	no_subtitles_found
movies-32M	1636	Stag	1997	no_subtitles_found
movies-32M	1657	Wonderland	1997	no_subtitles_found
movies-32M	1706	Tar	1996	no_subtitles_found
movies-32M	1709	Legal Deceit	1997	no_subtitles_found
movies-32M	1738	Vermin	1998	no_subtitles_found
movies-32M	1774	Mass Transit	1998	no_subtitles_found
movies-32M	1815	Eden	1997	no_subtitles_found
movies-32M	1819	Storefront Hitchcock	1997	no_subtitles_found
movies-32M	1847	Ratchet	1996	no_subtitles_found
movies-32M	1916	Buffalo '66 (a.k.a. Buffalo 66)	1998	no_subtitles_found
movies-32M	1925	Wings	1927	no_subtitles_found
movies-32M	2014	Freaky Friday	1977	no_subtitles_found
movies-32M	2198	Modulations	1998	no_subtitles_found
movies-32M	2217	Elstree Calling	1930	no_subtitles_found
movies-32M	2222	Champagne	1928	no_subtitles_found
movies-32M	2225	Easy Virtue	1928	no_subtitles_found
movies-32M	2230	Always Tell Your Wife	1914	no_subtitles_found
movies-32M	2538	Dancemaker	1998	no_subtitles_found
movies-32M	2584	Foolish	1999	no_subtitles_found
movies-32M	2588	Cloudland	1998	no_subtitles_found
movies-32M	2619	Mascara	1999	no_subtitles_found
movies-32M	2627	Endurance	1999	no_subtitles_found
movies-32M	2777	Cobra	1925	no_subtitles_found
movies-32M	2848	Othello (The Tragedy of Othello: The Moor of Venice)	1952	no_subtitles_found
movies-32M	2927	Brief Encounter	1946	no_subtitles_found
movies-32M	2957	Sparrows	1926	no_subtitles_found
movies-32M	2958	Naturally Native	1998	no_subtitles_found
