feature,n,pearson_r,pearson_p,spearman_r,spearman_p
negative_word_ratio,42292,-0.1446,0.0,-0.1613,0.0
long_word_ratio,42292,0.1306,0.0,0.145,0.0
anger_word_ratio,42292,-0.1284,0.0,-0.146,0.0
complex_word_ratio,42292,0.1162,0.0,0.1269,0.0
sentiment_variance,42292,-0.1092,0.0,-0.1276,0.0
repeated_line_ratio,42292,-0.1082,0.0,-0.1523,0.0
average_sentiment,42292,0.1016,0.0,0.0921,0.0
simple_word_ratio,42292,-0.0897,0.0,-0.1284,0.0
average_word_length,42292,0.0791,0.0,0.1256,0.0
sadness_word_ratio,42292,-0.0651,0.0,-0.0964,0.0
fear_word_ratio,42292,-0.0589,0.0,-0.056,0.0
content_stemmed_bigram_repetition_ratio,42292,-0.0408,0.0,-0.0503,0.0
content_stemmed_trigram_repetition_ratio,42292,-0.0323,0.0,-0.0584,0.0
trigram_repetition_ratio,42292,-0.0229,0.0,-0.024,0.0
hapax_ratio,42292,0.0224,0.0,0.0168,0.0006
positive_word_ratio,42292,-0.0179,0.0002,-0.0363,0.0
content_stemmed_hapax_ratio,42292,-0.0176,0.0003,-0.0478,0.0
top_word_frequency_ratio,42292,0.0173,0.0004,0.0232,0.0
joy_word_ratio,42292,-0.0158,0.0012,-0.0326,0.0
common_word_ratio,42292,-0.0126,0.0095,-0.0047,0.3346
bigram_repetition_ratio,42292,0.0086,0.0774,0.0233,0.0
rare_word_ratio,42292,0.0085,0.0797,0.004,0.414
flesch_reading_ease,42292,-0.0079,0.1047,-0.1362,0.0
content_stemmed_type_token_ratio,42292,0.0065,0.1826,-0.0148,0.0024
type_token_ratio,42292,0.0052,0.2868,-0.0275,0.0
repeated_short_phrase_ratio,42292,-0.0048,0.3187,0.0056,0.2494
average_sentence_length,42292,0.0018,0.7181,0.0687,0.0
