varied_weight,value,type_token_ratio,hapax_ratio,repeated_short_phrase_ratio,bigram_repetition_ratio,negative_word_ratio,precision,recall
negative_word_ratio,-0.95,0.019230769230769246,0.011538461538461548,-0.011538461538461548,-0.0076923076923077,-0.95,0.06853333333333333,0.045695262447528924
negative_word_ratio,-0.8,0.0769230769230769,0.04615384615384614,-0.04615384615384614,-0.030769230769230764,-0.8,0.0696,0.04578886981822535
negative_word_ratio,-0.6,0.15384615384615385,0.09230769230769231,-0.09230769230769231,-0.06153846153846154,-0.6,0.06893333333333333,0.04504890085582865
negative_word_ratio,-0.4,0.23076923076923073,0.13846153846153844,-0.13846153846153844,-0.09230769230769231,-0.4,0.06826666666666667,0.04464022963754451
negative_word_ratio,-0.2,0.3076923076923077,0.18461538461538463,-0.18461538461538463,-0.12307692307692308,-0.2,0.0692,0.044844104062893624
negative_word_ratio,-0.0,0.3846153846153846,0.23076923076923075,-0.23076923076923075,-0.15384615384615385,-0.0,0.07,0.04566722138079681
negative_word_ratio,0.2,0.3076923076923077,0.18461538461538463,-0.18461538461538463,-0.12307692307692308,0.2,0.06960000000000001,0.0461714109496549
negative_word_ratio,0.4,0.23076923076923073,0.13846153846153844,-0.13846153846153844,-0.09230769230769231,0.4,0.06960000000000001,0.04619968950967717
negative_word_ratio,0.6,0.15384615384615385,0.09230769230769231,-0.09230769230769231,-0.06153846153846154,0.6,0.0688,0.04552216655433163
negative_word_ratio,0.8,0.0769230769230769,0.04615384615384614,-0.04615384615384614,-0.030769230769230764,0.8,0.06866666666666667,0.04531426099689217
negative_word_ratio,0.95,0.019230769230769246,0.011538461538461548,-0.011538461538461548,-0.0076923076923077,0.95,0.06906666666666668,0.04587538551693968
type_token_ratio,0.0,0.0,0.19999999999999998,-0.19999999999999998,-0.13333333333333333,-0.4666666666666666,0.0684,0.04504010369439335
type_token_ratio,0.2,0.2,0.16,-0.16,-0.10666666666666667,-0.3733333333333333,0.0684,0.044683038680353546
type_token_ratio,0.4,0.4,0.11999999999999998,-0.11999999999999998,-0.08,-0.27999999999999997,0.06933333333333333,0.04543504653574736
type_token_ratio,0.6,0.6,0.08,-0.08,-0.05333333333333334,-0.18666666666666665,0.0692,0.045299504003857315
type_token_ratio,0.8,0.8,0.03999999999999999,-0.03999999999999999,-0.02666666666666666,-0.09333333333333331,0.06933333333333333,0.04518696530523637
type_token_ratio,0.95,0.95,0.010000000000000009,-0.010000000000000009,-0.006666666666666672,-0.023333333333333352,0.07013333333333334,0.04552700291123142
